Nachname,Vorname,Selbstzugeschriebenes Geschlecht,Veto
Aaa,Josué,männlich,divers
Bbb,Franziska,weiblich,männlich
Ccc,Amine,männlich,weiblich
Ddd,Leonce,männlich,
Eee,Artur,männlich,
Fff,Philip,männlich,
Ggg,Lina,weiblich,
Hhh,Moritz,männlich,
Iii,Maren,weiblich,
Jjj,Duro,männlich,
Kkk,Ediz,männlich,
Lll,Matthias,männlich,
Mmm,Christian,männlich,
Nnn,Justus,männlich,
Ooo,Snehal,männlich,
Ppp,Emilia,weiblich,
Qqq,Niclas,männlich,
Rrr,Noah,männlich,
Sss,Charlotta,weiblich,
Ttt,Luca,männlich,
Uuu,Arshia,männlich,
Vvv,Johannes,männlich,
Www,Moussa,männlich,
Xxx,Vincent,männlich,
Yyy,Ronit,männlich,
Zzz,Jonas,männlich,
Äää,Janis,männlich,
Ööö,Lena,weiblich,
Üüü,Soufiane,männlich,
Abb,Deniz-Burak,männlich,
Acc,Floriane,weiblich,
