Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsstartwert,Geben Sie ihren Vor- und Nachnamen an. [Vorname],Geben Sie ihren Vor- und Nachnamen an. [Nachname],Welches Geschlecht schreiben Sie sich selbst zu?,"Gibt es ein Geschlecht, das Sie auf keine Fall spielen wollen?"
1,1980-01-01 00:00:00,1,de,236856101,Josué,Aaa,Männlich,Divers
2,1980-01-01 00:00:00,1,de,314149372,Franziska,Bbb,Weiblich,Weiblich
3,1980-01-01 00:00:00,1,de,282344244,Amine,Ccc,Weiblich,Divers
4,1980-01-01 00:00:00,1,de,722277950,Leonce,Ddd,Weiblich,Weiblich
5,1980-01-01 00:00:00,1,de,489902839,Artur,Eee,Männlich,Weiblich
6,1980-01-01 00:00:00,1,de,140508143,Philip,Fff,Männlich,Weiblich
7,1980-01-01 00:00:00,1,de,853186764,Lina,Ggg,Weiblich,Männlich
8,1980-01-01 00:00:00,1,de,421323915,Moritz,Hhh,Männlich,Weiblich
9,1980-01-01 00:00:00,1,de,242265832,Maren,Iii,Weiblich,
10,1980-01-01 00:00:00,1,de,501914362,Duro,Jjj,Männlich,Weiblich
11,1980-01-01 00:00:00,1,de,686142404,Ediz,Kkk,Männlich,Divers
12,1980-01-01 00:00:00,1,de,150977738,Matthias,Lll,Männlich,Weiblich
13,1980-01-01 00:00:00,1,de,917075767,Christian,Mmm,Männlich,Weiblich
14,1980-01-01 00:00:00,1,de,680421976,Justus,Nnn,Männlich,Weiblich
15,1980-01-01 00:00:00,1,de,972350487,Snehal,Ooo,Männlich,Weiblich
16,1980-01-01 00:00:00,1,de,630279668,Emilia,Ppp,Weiblich,
17,1980-01-01 00:00:00,1,de,589181770,Niclas,Qqq,Männlich,
18,1980-01-01 00:00:00,1,de,358068068,Noah,Rrr,Weiblich,
19,1980-01-01 00:00:00,1,de,722101267,Charlotta,Sss,Weiblich,
20,1980-01-01 00:00:00,1,de,890651674,Luca,Ttt,Weiblich,
21,1980-01-01 00:00:00,1,de,882951698,Arshia,Uuu,Weiblich,
22,1980-01-01 00:00:00,1,de,882940871,Johannes,Vvv,Männlich,
23,1980-01-01 00:00:00,1,de,750238946,Moussa,Www,Männlich,
24,1980-01-01 00:00:00,1,de,239047607,Vincent,Xxx,Männlich,
25,1980-01-01 00:00:00,1,de,201602030,Ronit,Yyy,Divers,Männlich
26,1980-01-01 00:00:00,1,de,238309259,Jonas,Zzz,Männlich,
27,1980-01-01 00:00:00,1,de,565673100,Janis,Äää,Divers,Männlich
28,1980-01-01 00:00:00,1,de,600296495,Lena,Ööö,Weiblich,
29,1980-01-01 00:00:00,1,de,975614295,Soufiane,Üüü,Weiblich,
30,1980-01-01 00:00:00,1,de,581886639,Deniz-Burak,Abb,Männlich,
31,1980-01-01 00:00:00,1,de,119492729,Floriane,Acc,Weiblich,
32,1980-01-01 00:00:00,1,de,885116320,Lili,Add,Divers,Weiblich
33,1980-01-01 00:00:00,1,de,725684849,Nick,Aee,Männlich,
34,1980-01-01 00:00:00,1,de,304920787,Josh,Aff,Männlich,
35,1980-01-01 00:00:00,1,de,105913416,Sara,Agg,Weiblich,
36,1980-01-01 00:00:00,1,de,594065398,Vanessa,Ahh,Weiblich,
37,1980-01-01 00:00:00,1,de,415340686,Michael,Aii,Männlich,
38,1980-01-01 00:00:00,1,de,400316161,Leeva,Ajj,Weiblich,Männlich
39,1980-01-01 00:00:00,1,de,479427771,Luca,Akk,Männlich,
40,1980-01-01 00:00:00,1,de,816399632,Christian,All,Männlich,
41,1980-01-01 00:00:00,1,de,109800671,Carolin,Amm,Weiblich,Männlich
42,1980-01-01 00:00:00,1,de,620073600,Kai,Ann,Männlich,
43,1980-01-01 00:00:00,1,de,543779767,Ilona,Aoo,Weiblich,
44,1980-01-01 00:00:00,1,de,859762767,Joachim,App,Männlich,
45,1980-01-01 00:00:00,1,de,623539171,Markus,Aqq,Männlich,
46,1980-01-01 00:00:00,1,de,838572166,Christina,Arr,Weiblich,
47,1980-01-01 00:00:00,1,de,222640137,Tim,Ass,Männlich,
48,1980-01-01 00:00:00,1,de,291031456,Maurice,Att,Männlich,
49,1980-01-01 00:00:00,1,de,630324417,Ava,Auu,Weiblich,
50,1980-01-01 00:00:00,1,de,768073388,Naomi,Avv,Weiblich,
51,1980-01-01 00:00:00,1,de,715056645,Lia,Aww,Weiblich,
52,1980-01-01 00:00:00,1,de,777999811,Yen-ta,Axx,Männlich,
53,1980-01-01 00:00:00,1,de,267717478,Mohammed,Ayy,Männlich,
54,1980-01-01 00:00:00,1,de,919300236,Aisha,Azz,Weiblich,
