Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsstartwert,Geben Sie ihren Vor- und Nachnamen an. [Vorname],Geben Sie ihren Vor- und Nachnamen an. [Nachname],Welches Geschlecht schreiben Sie sich selbst zu?,"Gibt es ein Geschlecht, das Sie auf keine Fall spielen wollen?"
1,1980-01-01 00:00:00,1,de,864638835,Josué,Aaa,Männlich,Divers
2,1980-01-01 00:00:00,1,de,932109228,Franziska,Bbb,Weiblich,Männlich
3,1980-01-01 00:00:00,1,de,633710926,Amine,Ccc,Männlich,Weiblich
4,1980-01-01 00:00:00,1,de,293455855,Leonce,Ddd,Männlich,
5,1980-01-01 00:00:00,1,de,134911311,Artur,Eee,Männlich,
6,1980-01-01 00:00:00,1,de,336806857,Philip,Fff,Männlich,
7,1980-01-01 00:00:00,1,de,791526746,Lina,Ggg,Weiblich,
8,1980-01-01 00:00:00,1,de,767745451,Moritz,Hhh,Männlich,
9,1980-01-01 00:00:00,1,de,986469243,Maren,Iii,Weiblich,
10,1980-01-01 00:00:00,1,de,758285977,Duro,Jjj,Männlich,
11,1980-01-01 00:00:00,1,de,972510804,Ediz,Kkk,Männlich,
12,1980-01-01 00:00:00,1,de,606928846,Matthias,Lll,Männlich,
13,1980-01-01 00:00:00,1,de,841767242,Christian,Mmm,Männlich,
14,1980-01-01 00:00:00,1,de,508283072,Justus,Nnn,Männlich,
15,1980-01-01 00:00:00,1,de,296417415,Snehal,Ooo,Männlich,
16,1980-01-01 00:00:00,1,de,832746176,Emilia,Ppp,Weiblich,
17,1980-01-01 00:00:00,1,de,846027246,Niclas,Qqq,Männlich,
18,1980-01-01 00:00:00,1,de,465692064,Noah,Rrr,Männlich,
19,1980-01-01 00:00:00,1,de,804915987,Charlotta,Sss,Weiblich,
20,1980-01-01 00:00:00,1,de,999898642,Luca,Ttt,Männlich,
21,1980-01-01 00:00:00,1,de,114297516,Arshia,Uuu,Männlich,
22,1980-01-01 00:00:00,1,de,481505139,Johannes,Vvv,Männlich,
23,1980-01-01 00:00:00,1,de,348831286,Moussa,Www,Männlich,
24,1980-01-01 00:00:00,1,de,370195832,Vincent,Xxx,Männlich,
25,1980-01-01 00:00:00,1,de,302290008,Ronit,Yyy,Männlich,
26,1980-01-01 00:00:00,1,de,185523473,Jonas,Zzz,Männlich,
27,1980-01-01 00:00:00,1,de,285336713,Janis,Äää,Männlich,
28,1980-01-01 00:00:00,1,de,633580617,Lena,Ööö,Weiblich,
29,1980-01-01 00:00:00,1,de,400119703,Soufiane,Üüü,Männlich,
30,1980-01-01 00:00:00,1,de,527856902,Deniz-Burak,Abb,Männlich,
31,1980-01-01 00:00:00,1,de,771937190,Floriane,Acc,Weiblich,
