Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsstartwert,Geben Sie ihren Vor- und Nachnamen an. [Vorname],Geben Sie ihren Vor- und Nachnamen an. [Nachname],Welches Geschlecht schreiben Sie sich selbst zu?,"Gibt es ein Geschlecht, das Sie auf keine Fall spielen wollen?"
1,1980-01-01 00:00:00,1,de,462335632,Josué,Aaa,Männlich,Divers
2,1980-01-01 00:00:00,1,de,532382672,Franziska,Bbb,Weiblich,Weiblich
3,1980-01-01 00:00:00,1,de,579099063,Amine,Ccc,Weiblich,Divers
4,1980-01-01 00:00:00,1,de,865122378,Leonce,Ddd,Weiblich,Weiblich
5,1980-01-01 00:00:00,1,de,707276561,Artur,Eee,Männlich,Weiblich
6,1980-01-01 00:00:00,1,de,594869538,Philip,Fff,Männlich,Weiblich
7,1980-01-01 00:00:00,1,de,658754390,Lina,Ggg,Weiblich,Männlich
8,1980-01-01 00:00:00,1,de,227109101,Moritz,Hhh,Männlich,Weiblich
9,1980-01-01 00:00:00,1,de,938498382,Maren,Iii,Weiblich,
10,1980-01-01 00:00:00,1,de,348550858,Duro,Jjj,Männlich,Weiblich
11,1980-01-01 00:00:00,1,de,432128828,Ediz,Kkk,Männlich,Divers
12,1980-01-01 00:00:00,1,de,606413658,Matthias,Lll,Männlich,Weiblich
13,1980-01-01 00:00:00,1,de,171798462,Christian,Mmm,Männlich,Weiblich
14,1980-01-01 00:00:00,1,de,446434593,Justus,Nnn,Männlich,Weiblich
15,1980-01-01 00:00:00,1,de,194969287,Snehal,Ooo,Männlich,Weiblich
16,1980-01-01 00:00:00,1,de,450526819,Emilia,Ppp,Weiblich,
17,1980-01-01 00:00:00,1,de,537532006,Niclas,Qqq,Männlich,
18,1980-01-01 00:00:00,1,de,602851003,Noah,Rrr,Weiblich,
