Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsstartwert,Geben Sie ihren Vor- und Nachnamen an. [Vorname],Geben Sie ihren Vor- und Nachnamen an. [Nachname],Welches Geschlecht schreiben Sie sich selbst zu?,"Gibt es ein Geschlecht, das Sie auf keine Fall spielen wollen?"
1,1980-01-01 00:00:00,1,de,407699174,Josué,Aaa,Männlich,Divers
2,1980-01-01 00:00:00,1,de,187736233,Franziska,Bbb,Weiblich,Weiblich
3,1980-01-01 00:00:00,1,de,565319732,Amine,Ccc,Männlich,Divers
4,1980-01-01 00:00:00,1,de,268898511,Leonce,Ddd,Männlich,Weiblich
5,1980-01-01 00:00:00,1,de,931322282,Artur,Eee,Männlich,Weiblich
6,1980-01-01 00:00:00,1,de,450662076,Philip,Fff,Männlich,Weiblich
7,1980-01-01 00:00:00,1,de,613168174,Lina,Ggg,Weiblich,Männlich
8,1980-01-01 00:00:00,1,de,468546027,Moritz,Hhh,Männlich,Weiblich
9,1980-01-01 00:00:00,1,de,201298209,Maren,Iii,Weiblich,
10,1980-01-01 00:00:00,1,de,350904723,Duro,Jjj,Männlich,Weiblich
11,1980-01-01 00:00:00,1,de,232619461,Ediz,Kkk,Männlich,Divers
12,1980-01-01 00:00:00,1,de,981611558,Matthias,Lll,Männlich,Weiblich
13,1980-01-01 00:00:00,1,de,996796238,Christian,Mmm,Männlich,Weiblich
14,1980-01-01 00:00:00,1,de,694063038,Justus,Nnn,Männlich,Weiblich
15,1980-01-01 00:00:00,1,de,732846150,Snehal,Ooo,Männlich,Weiblich
16,1980-01-01 00:00:00,1,de,240536309,Emilia,Ppp,Weiblich,
17,1980-01-01 00:00:00,1,de,559243837,Niclas,Qqq,Männlich,
18,1980-01-01 00:00:00,1,de,327053867,Noah,Rrr,Männlich,
19,1980-01-01 00:00:00,1,de,117054560,Charlotta,Sss,Weiblich,
20,1980-01-01 00:00:00,1,de,679352219,Luca,Ttt,Männlich,
21,1980-01-01 00:00:00,1,de,973266799,Arshia,Uuu,Männlich,
22,1980-01-01 00:00:00,1,de,444830610,Johannes,Vvv,Männlich,
23,1980-01-01 00:00:00,1,de,717733962,Moussa,Www,Männlich,
24,1980-01-01 00:00:00,1,de,354738868,Vincent,Xxx,Männlich,
25,1980-01-01 00:00:00,1,de,833880489,Ronit,Yyy,Männlich,
26,1980-01-01 00:00:00,1,de,248863457,Jonas,Zzz,Männlich,
27,1980-01-01 00:00:00,1,de,548396965,Janis,Äää,Männlich,
28,1980-01-01 00:00:00,1,de,350563142,Lena,Ööö,Weiblich,
29,1980-01-01 00:00:00,1,de,222242366,Soufiane,Üüü,Männlich,
30,1980-01-01 00:00:00,1,de,668875928,Deniz-Burak,Abb,Männlich,
31,1980-01-01 00:00:00,1,de,709847057,Floriane,Acc,Weiblich,
